App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook§ART_AND_DESIGN§4.1§159§19M§10,000+§Free§0§Everyone§Art & Design§January 7, 2018§1.0.0§4.0.3 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay§DATING§4.1§2212§41M§100,000+§Free§0§Mature 17+§Dating§June 20, 2018§2.0.5§4.0.3 and up
Black White Interracial Dating - Interracial Match§DATING§4.1§535§28M§100,000+§Free§0§Mature 17+§Dating§March 29, 2018§2.0.0§4.1 and up
OkCupid Dating§DATING§4.1§285726§15M§10,000,000+§Free§0§Mature 17+§Dating§July 30, 2018§11.10.1§4.1 and up
Hily: Dating, Chat, Match, Meet & Hook up§DATING§4.1§2556§56M§100,000+§Free§0§Mature 17+§Dating§August 1, 2018§2.5.2§4.1 and up
Clover Dating App§DATING§4.1§11633§23M§500,000+§Free§0§Mature 17+§Dating§July 24, 2018§2.5.1§4.1 and up
Hot or Not - Find someone right now§DATING§4.1§305708§Varies with device§10,000,000+§Free§0§Mature 17+§Dating§August 2, 2018§Varies with device§Varies with device
Sudy – Meet Elite & Rich Single§DATING§4.1§17268§40M§500,000+§Free§0§Mature 17+§Dating§June 25, 2018§4.1.2§4.0.3 and up
95Live -SG#1 Live Streaming App§DATING§4.1§4953§15M§1,000,000+§Free§0§Teen§Dating§August 1, 2018§8.7.2§4.2 and up
BiggerCity: Chat for gay bears, chubs & chasers§DATING§4.1§923§44M§100,000+§Free§0§Mature 17+§Dating§August 2, 2018§3.4.1.1§4.1 and up
Black White Interracial Dating - Interracial Match§DATING§4.1§537§28M§100,000+§Free§0§Mature 17+§Dating§March 29, 2018§2.0.0§4.1 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay§DATING§4.1§2212§41M§100,000+§Free§0§Mature 17+§Dating§June 20, 2018§2.0.5§4.0.3 and up
Mingle - Online Dating App to Chat & Meet People§DATING§4.1§15081§38M§1,000,000+§Free§0§Mature 17+§Dating§July 26, 2018§4.7.6§4.1 and up
A hundred§DATING§4.1§236§8.8M§10,000+§Free§0§Mature 17+§Dating§March 29, 2018§3.9.2§4.0.3 and up
WannaMeet – Dating & Chat App§DATING§4.1§6701§11M§1,000,000+§Free§0§Mature 17+§Dating§June 29, 2018§5.16.2§4.0.3 and up
chat saudi arabia§DATING§4.1§11§11M§1,000+§Free§0§Mature 17+§Dating§July 14, 2018§1.1§4.0 and up
95Live -SG#1 Live Streaming App§DATING§4.1§4954§15M§1,000,000+§Free§0§Teen§Dating§August 1, 2018§8.7.2§4.2 and up
Hily: Dating, Chat, Match, Meet & Hook up§DATING§4.1§2560§56M§100,000+§Free§0§Mature 17+§Dating§August 1, 2018§2.5.2§4.1 and up
Free Dating App - Meet Local Singles - Flirt Chat§DATING§4.1§825§Varies with device§100,000+§Free§0§Mature 17+§Dating§December 28, 2017§1.0.5§4.0 and up
Free Dating App - YoCutie - Flirt, Chat & Meet§DATING§4.1§97699§7.9M§1,000,000+§Free§0§Mature 17+§Dating§July 10, 2018§1.230§4.0.3 and up
CppDroid - C/C++ IDE§EDUCATION§4.1§29980§Varies with device§1,000,000+§Free§0§Everyone§Education§August 17, 2017§Varies with device§Varies with device
C++ Tutorials§EDUCATION§4.1§358§1.9M§50,000+§Free§0§Everyone§Education§August 21, 2014§1.1§2.3 and up
Learn programming§EDUCATION§4.1§12733§Varies with device§1,000,000+§Free§0§Everyone§Education§May 20, 2018§Varies with device§Varies with device
SAT Test§EDUCATION§4.1§2363§6.6M§100,000+§Free§0§Everyone§Education§November 17, 2016§2.48§4.0 and up
My Class Schedule: Timetable§EDUCATION§4.1§9348§Varies with device§1,000,000+§Free§0§Everyone§Education§June 1, 2016§Varies with device§Varies with device
Edmodo§EDUCATION§4.1§200058§18M§10,000,000+§Free§0§Everyone§Education§July 20, 2018§9.12.5§4.0.3 and up
Training schedule - AllUniver§EDUCATION§4.1§702§7.6M§10,000+§Free§0§Everyone§Education§October 16, 2017§5.0§4.4 and up
My Class Schedule: Timetable§EDUCATION§4.1§9348§Varies with device§1,000,000+§Free§0§Everyone§Education§June 1, 2016§Varies with device§Varies with device
Blinkist - Nonfiction Books§EDUCATION§4.1§16103§13M§1,000,000+§Free§0§Everyone§Education§July 31, 2018§5.7.1§4.1 and up
Peers.TV: broadcast TV channels First, Match TV, TNT ...§ENTERTAINMENT§4.1§141980§Varies with device§5,000,000+§Free§0§Teen§Entertainment§July 30, 2018§Varies with device§Varies with device
Ziggo GO§ENTERTAINMENT§4.1§29690§78M§1,000,000+§Free§0§Teen§Entertainment§August 3, 2018§2.3.34 Prod§4.3 and up
Cinemark Theatres§ENTERTAINMENT§4.1§21867§39M§1,000,000+§Free§0§Teen§Entertainment§July 12, 2018§2.19.0§5.0 and up
Food Network§ENTERTAINMENT§4.1§7813§Varies with device§500,000+§Free§0§Teen§Entertainment§July 27, 2018§Varies with device§Varies with device
Cooking Channel§ENTERTAINMENT§4.1§1033§16M§100,000+§Free§0§Teen§Entertainment§July 27, 2018§Varies with device§Varies with device
HISTORY: Watch TV Show Full Episodes & Specials§ENTERTAINMENT§4.1§33387§20M§1,000,000+§Free§0§Teen§Entertainment§July 16, 2018§3.1.4§4.4 and up
VH1§ENTERTAINMENT§4.1§27424§17M§1,000,000+§Free§0§Teen§Entertainment§July 8, 2018§11.45.0§4.4 and up
The NBC App - Watch Live TV and Full Episodes§ENTERTAINMENT§4.1§58028§17M§5,000,000+§Free§0§Teen§Entertainment§July 5, 2018§4.18.1§4.1 and up
HISTORY: Watch TV Show Full Episodes & Specials§ENTERTAINMENT§4.1§33387§20M§1,000,000+§Free§0§Teen§Entertainment§July 16, 2018§3.1.4§4.4 and up
VH1§ENTERTAINMENT§4.1§27424§17M§1,000,000+§Free§0§Teen§Entertainment§July 8, 2018§11.45.0§4.4 and up
PlayKids - Educational cartoons and games for kids§ENTERTAINMENT§4.1§182103§Varies with device§10,000,000+§Free§0§Everyone§Entertainment;Music & Video§July 30, 2018§Varies with device§Varies with device
Food Network§ENTERTAINMENT§4.1§7813§Varies with device§500,000+§Free§0§Teen§Entertainment§July 27, 2018§Varies with device§Varies with device
HISTORY: Watch TV Show Full Episodes & Specials§ENTERTAINMENT§4.1§33387§20M§1,000,000+§Free§0§Teen§Entertainment§July 16, 2018§3.1.4§4.4 and up
Redbox§ENTERTAINMENT§4.1§115033§30M§10,000,000+§Free§0§Everyone§Entertainment§July 2, 2018§7.5.0§5.0 and up
VH1§ENTERTAINMENT§4.1§27424§17M§1,000,000+§Free§0§Teen§Entertainment§July 8, 2018§11.45.0§4.4 and up
Name days§EVENTS§4.1§3089§Varies with device§100,000+§Free§0§Everyone§Events§July 12, 2018§Varies with device§Varies with device
Xceed - Clubs, DJs, Festivals & Tickets§EVENTS§4.1§399§24M§100,000+§Free§0§Everyone§Events§August 3, 2018§Cannonau 3.11.11§5.0 and up
The Societe Generale App§FINANCE§4.1§31218§Varies with device§1,000,000+§Free§0§Everyone§Finance§July 31, 2018§Varies with device§Varies with device
VTB-Online§FINANCE§4.1§138371§Varies with device§5,000,000+§Free§0§Everyone§Finance§August 2, 2018§Varies with device§4.0.3 and up
Banorte Movil§FINANCE§4.1§111632§65M§1,000,000+§Free§0§Everyone§Finance§June 9, 2018§5.10.1.40699§4.4 and up
Transfer§FINANCE§4.1§31804§9.8M§5,000,000+§Free§0§Everyone§Finance§July 27, 2018§3.1.6.12§4.0 and up
Stock Quote§FINANCE§4.1§4344§4.5M§500,000+§Free§0§Everyone§Finance§July 30, 2018§3.6.2§4.0 and up
Bloomberg Professional§FINANCE§4.1§3334§Varies with device§500,000+§Free§0§Everyone§Finance§July 23, 2018§Varies with device§Varies with device
NSE Mobile Trading§FINANCE§4.1§13868§1.4M§1,000,000+§Free§0§Everyone§Finance§August 3, 2017§1.1.16§2.1 and up
Citizens Bank Mobile Banking§FINANCE§4.1§15192§38M§1,000,000+§Free§0§Everyone§Finance§May 23, 2018§4.2.1§4.1 and up
ACE Elite§FINANCE§4.1§2898§45M§100,000+§Free§0§Everyone§Finance§May 9, 2018§4.10.0§4.4 and up
U.S. Bank§FINANCE§4.1§70782§50M§1,000,000+§Free§0§Everyone§Finance§July 25, 2018§2.34.29§4.0.3 and up
Barclays US for Android§FINANCE§4.1§6998§24M§1,000,000+§Free§0§Everyone§Finance§August 1, 2018§6.29.37589§5.0 and up
Cookpad - FREE recipe search makes fun cooking · musical making!§FOOD_AND_DRINK§4.1§64784§13M§10,000,000+§Free§0§Everyone§Food & Drink§August 2, 2018§18.6.0.10§5.0 and up
Frigo Magic: Easy recipe idea and anti-waste§FOOD_AND_DRINK§4.1§2473§14M§500,000+§Free§0§Everyone§Food & Drink§July 28, 2018§3.1.5§4.4 and up
Chef - Recipes & Cooking§FOOD_AND_DRINK§4.1§32405§12M§5,000,000+§Free§0§Everyone§Food & Drink§July 3, 2018§3.3.21§4.1 and up
Cookbook Recipes§FOOD_AND_DRINK§4.1§46539§Varies with device§5,000,000+§Free§0§Teen§Food & Drink§July 23, 2018§Varies with device§Varies with device
Easy Healthy Recipes§FOOD_AND_DRINK§4.1§278§7.2M§50,000+§Free§0§Everyone§Food & Drink§July 20, 2018§24.5.0§4.0 and up
Paprika Recipe Manager§FOOD_AND_DRINK§4.1§1268§2.3M§50,000+§Paid§$4.99§Everyone§Food & Drink§June 3, 2018§1.4.4§4.0 and up
Foursquare City Guide§FOOD_AND_DRINK§4.1§483960§Varies with device§10,000,000+§Free§0§Teen§Food & Drink§July 23, 2018§Varies with device§Varies with device
delivery.com: Order Food, Alcohol & Laundry§FOOD_AND_DRINK§4.1§1920§Varies with device§100,000+§Free§0§Everyone§Food & Drink§July 31, 2018§Varies with device§Varies with device
Simply Yoga - Fitness Trainer for Workouts & Poses§HEALTH_AND_FITNESS§4.1§6826§Varies with device§1,000,000+§Free§0§Everyone§Health & Fitness§June 14, 2018§Varies with device§Varies with device
Pregnancy Tracker§HEALTH_AND_FITNESS§4.1§2681§6.5M§500,000+§Free§0§Everyone§Health & Fitness§February 10, 2018§37§4.0.3 and up
Geocaching®§HEALTH_AND_FITNESS§4.1§62616§Varies with device§5,000,000+§Free§0§Teen§Health & Fitness§August 2, 2018§Varies with device§Varies with device
My Diet Diary Calorie Counter§HEALTH_AND_FITNESS§4.1§18539§57M§1,000,000+§Free§0§Everyone§Health & Fitness§July 30, 2018§1.11.4§4.0.3 and up
Lark - 24/7 Health Coach§HEALTH_AND_FITNESS§4.1§3405§51M§100,000+§Free§0§Everyone§Health & Fitness§July 25, 2018§4.5.1.123§4.4 and up
Eat Fit - Diet and Health Free§HEALTH_AND_FITNESS§4.1§2469§3.6M§100,000+§Free§0§Everyone§Health & Fitness§July 23, 2014§1.0.9§2.3 and up
My Diet Diary Calorie Counter§HEALTH_AND_FITNESS§4.1§18539§57M§1,000,000+§Free§0§Everyone§Health & Fitness§July 30, 2018§1.11.4§4.0.3 and up
Lark - 24/7 Health Coach§HEALTH_AND_FITNESS§4.1§3405§51M§100,000+§Free§0§Everyone§Health & Fitness§July 25, 2018§4.5.1.123§4.4 and up
Runtastic Sleep Better: Sleep Cycle & Smart Alarm§HEALTH_AND_FITNESS§4.1§111462§Varies with device§5,000,000+§Free§0§Everyone§Health & Fitness§July 25, 2018§Varies with device§Varies with device
Real Estate sale & rent Trovit§HOUSE_AND_HOME§4.1§65913§7.7M§5,000,000+§Free§0§Everyone§House & Home§July 16, 2018§4.47.3§4.0.3 and up
591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages§HOUSE_AND_HOME§4.1§24977§21M§1,000,000+§Free§0§Everyone§House & Home§August 1, 2018§3.5.9§4.0.3 and up
Bathroom Decorating Ideas§HOUSE_AND_HOME§4.1§2427§5.3M§500,000+§Free§0§Everyone§House & Home§March 12, 2015§1.4§3.0 and up
Trulia Mortgage Calculators§HOUSE_AND_HOME§4.1§81§16M§50,000+§Free§0§Everyone§House & Home§February 16, 2018§2.1.0§4.4 and up
SUDOKU§LIBRARIES_AND_DEMO§4.1§923§4.3M§100,000+§Free§0§Everyone§Libraries & Demo§October 15, 2015§3.1§2.3 and up
Market Update Helper§LIBRARIES_AND_DEMO§4.1§20145§11k§1,000,000+§Free§0§Everyone§Libraries & Demo§February 12, 2013§""§1.5 and up
New Ringtones 2018§LIBRARIES_AND_DEMO§4.1§3781§36M§1,000,000+§Free§0§Everyone§Libraries & Demo§April 15, 2018§1.8§4.0 and up
Dollhouse Decorating Games§LIFESTYLE§4.1§18968§32M§5,000,000+§Free§0§Teen§Lifestyle§April 26, 2018§5.1§4.1 and up
metroZONE§LIFESTYLE§4.1§47497§34M§10,000,000+§Free§0§Everyone§Lifestyle§June 8, 2018§5.3.0.54.7§5.0 and up
Mirror§LIFESTYLE§4.1§367505§Varies with device§10,000,000+§Free§0§Everyone§Lifestyle§July 25, 2018§Varies with device§Varies with device
My Day - Countdown Calendar 🗓️§LIFESTYLE§4.1§49147§13M§1,000,000+§Free§0§Everyone§Lifestyle§May 7, 2018§2.9.5§4.1 and up
DIY Garden Ideas§LIFESTYLE§4.1§3309§13M§500,000+§Free§0§Everyone§Lifestyle§August 5, 2018§10.0§4.0 and up
Homestyler Interior Design & Decorating Ideas§LIFESTYLE§4.1§78298§29M§5,000,000+§Free§0§Everyone§Lifestyle§August 2, 2018§3.1.2.1§4.1 and up
Wheretoget: Shop in style§LIFESTYLE§4.1§6808§12M§500,000+§Free§0§Teen§Lifestyle§June 5, 2017§3.2.0§4.1 and up
My Dressing - Fashion closet§LIFESTYLE§4.1§12452§Varies with device§500,000+§Free§0§Everyone§Lifestyle§January 26, 2017§Varies with device§Varies with device
Chictopia§LIFESTYLE§4.1§360§4.6M§10,000+§Free§0§Everyone§Lifestyle§April 30, 2014§1.6.2§2.2 and up
Wheretoget: Shop in style§LIFESTYLE§4.1§6808§12M§500,000+§Free§0§Teen§Lifestyle§June 5, 2017§3.2.0§4.1 and up
My Dressing - Fashion closet§LIFESTYLE§4.1§12452§Varies with device§500,000+§Free§0§Everyone§Lifestyle§January 26, 2017§Varies with device§Varies with device
Chictopia§LIFESTYLE§4.1§360§4.6M§10,000+§Free§0§Everyone§Lifestyle§April 30, 2014§1.6.2§2.2 and up
Housing-Real Estate & Property§LIFESTYLE§4.1§28301§Varies with device§1,000,000+§Free§0§Everyone§Lifestyle§July 13, 2018§12.1.0§4.1 and up
Zoopla Property Search UK - Home to buy & rent§LIFESTYLE§4.1§21195§Varies with device§1,000,000+§Free§0§Everyone§Lifestyle§June 22, 2018§Varies with device§Varies with device
Barbie™ Fashion Closet§GAME§4.1§68057§85M§10,000,000+§Free§0§Everyone§Casual;Creativity§July 30, 2018§1.3.7§4.1 and up
Pokémon GO§GAME§4.1§10424925§85M§100,000,000+§Free§0§Everyone§Adventure§July 23, 2018§0.111.3§4.4 and up
The Fish Master!§GAME§4.1§15763§54M§1,000,000+§Free§0§Everyone§Arcade§July 17, 2018§1.6§4.1 and up
Color Road§GAME§4.1§84911§71M§10,000,000+§Free§0§Everyone§Arcade§July 19, 2018§2.5.0§4.1 and up
Tomb of the Mask§GAME§4.1§55380§39M§5,000,000+§Free§0§Everyone§Action§July 24, 2018§1.2.1§5.0 and up
New YAHTZEE® With Buddies Dice Game§GAME§4.1§42079§93M§5,000,000+§Free§0§Everyone§Board§July 5, 2018§5.6.5§4.1 and up
Dino War: Rise of Beasts§GAME§4.1§18996§81M§1,000,000+§Free§0§Teen§Strategy§August 1, 2018§1.5.2§4.1 and up
diep.io§GAME§4.1§347883§20M§10,000,000+§Free§0§Everyone§Action§March 16, 2018§1.2.7§4.0.3 and up
Bus Rush: Subway Edition§GAME§4.1§753043§57M§100,000,000+§Free§0§Teen§Action§August 1, 2018§1.15.2§4.0.3 and up
Barbie™ Fashion Closet§FAMILY§4.1§68286§85M§10,000,000+§Free§0§Everyone§Casual;Creativity§July 30, 2018§1.3.7§4.1 and up
Thomas & Friends: Race On!§FAMILY§4.1§29319§26M§5,000,000+§Free§0§Everyone§Casual;Action & Adventure§May 18, 2018§2.4§4.4 and up
School of Dragons§FAMILY§4.1§530792§Varies with device§10,000,000+§Free§0§Everyone§Role Playing;Action & Adventure§May 30, 2018§Varies with device§Varies with device
Moana Island Life§FAMILY§4.1§15246§78M§1,000,000+§Free§0§Everyone§Simulation;Action & Adventure§July 12, 2017§3.2.473.202§4.0 and up
LEGO® Juniors Create & Cruise§FAMILY§4.1§673203§73M§50,000,000+§Free§0§Everyone§Educational;Action & Adventure§January 19, 2018§6.7.5222§4.1 and up
Thomas & Friends: Go Go Thomas§FAMILY§4.1§175625§16M§10,000,000+§Free§0§Everyone§Racing;Action & Adventure§November 22, 2017§1.4§4.1 and up
My Little Pony: Harmony Quest§FAMILY§4.1§148295§26M§10,000,000+§Free§0§Everyone§Casual;Action & Adventure§March 5, 2018§1.6§4.1 and up
Touch Racing 2 - Mini RC Race§FAMILY§4.1§41867§78M§1,000,000+§Free§0§Everyone§Racing;Action & Adventure§May 18, 2017§1.4.2.1§2.3.3 and up
Kids Animals Jigsaw Puzzles 😄§FAMILY§4.1§51895§22M§10,000,000+§Free§0§Everyone§Educational;Brain Games§June 16, 2018§18.1§4.2 and up
Monster High™§FAMILY§4.1§66661§22M§5,000,000+§Free§0§Everyone§Casual;Pretend Play§February 2, 2018§5.2§4.1 and up
Nancy Drew Codes and Clues§FAMILY§4.1§154§16M§10,000+§Free§0§Everyone§Educational;Education§January 13, 2017§2.0.0§4.1 and up
Masha and the Bear Child Games§FAMILY§4.1§288523§92M§10,000,000+§Free§0§Everyone§Adventure;Education§May 8, 2018§2.7.4§4.0 and up
codeSpark Academy & The Foos§FAMILY§4.1§4522§57M§500,000+§Free§0§Everyone§Educational;Education§June 21, 2018§2.19.01§4.1 and up
Tic Tac Toe§FAMILY§4.1§6007§18M§1,000,000+§Free§0§Everyone§Board;Action & Adventure§July 3, 2017§1.6.3028.0§2.3 and up
Dominos Game ✔️§FAMILY§4.1§2903§16M§1,000,000+§Free§0§Everyone§Board;Brain Games§July 5, 2018§5.2§4.1 and up
Checkers ✔️§FAMILY§4.1§3617§19M§1,000,000+§Free§0§Everyone§Board;Brain Games§July 24, 2018§4.0.2§4.1 and up
Chess for Kids - Play & Learn§FAMILY§4.1§3234§47M§100,000+§Free§0§Everyone§Puzzle;Brain Games§May 15, 2018§2.2.3§4.1 and up
Kids Balloon Pop Game Free 🎈§FAMILY§4.1§38021§19M§10,000,000+§Free§0§Everyone§Casual;Music & Video§July 6, 2018§18.2§4.0.3 and up
TO-FU Oh!SUSHI§FAMILY§4.1§59917§92M§5,000,000+§Free§0§Everyone§Education;Pretend Play§July 31, 2018§2.3§4.4 and up
Kids Balloon Pop Game Free 🎈§FAMILY§4.1§38021§19M§10,000,000+§Free§0§Everyone§Casual;Music & Video§July 6, 2018§18.2§4.0.3 and up
TO-FU Oh!SUSHI§FAMILY§4.1§59917§92M§5,000,000+§Free§0§Everyone§Education;Pretend Play§July 31, 2018§2.3§4.4 and up
PlayKids - Educational cartoons and games for kids§FAMILY§4.1§182173§Varies with device§10,000,000+§Free§0§Everyone§Entertainment;Music & Video§July 30, 2018§Varies with device§Varies with device
Fun Kid Racing - Motocross§FAMILY§4.1§59729§Varies with device§10,000,000+§Free§0§Everyone§Racing;Action & Adventure§June 27, 2018§3.46§4.2 and up
Palace Pets in Whisker Haven§FAMILY§4.1§47213§14M§5,000,000+§Free§0§Everyone§Entertainment;Pretend Play§December 9, 2017§1.8§4.2 and up
Monster High™§FAMILY§4.1§66660§22M§5,000,000+§Free§0§Everyone§Casual;Pretend Play§February 2, 2018§5.2§4.1 and up
Thomas & Friends: Race On!§FAMILY§4.1§29319§26M§5,000,000+§Free§0§Everyone§Casual;Action & Adventure§May 18, 2018§2.4§4.4 and up
